_id,Year,Country/State,AgeGroup,Person
1,2020,MALAYSIA,0,14956.7
2,2020,MALAYSIA,15–19,483.5
3,2020,MALAYSIA,20–24,1814.4
4,2020,MALAYSIA,25–29,2652.4
5,2020,MALAYSIA,30–34,2396.7
6,2020,MALAYSIA,35–39,2063.2
7,2020,MALAYSIA,40–44,1616.3
8,2020,MALAYSIA,45–49,1404.3
9,2020,MALAYSIA,50–54,1202.6
10,2020,MALAYSIA,55–59,874.8
11,2020,MALAYSIA,60–64,448.6
12,2020,JOHOR,0,1775.6
13,2020,JOHOR,15–19,61.1
14,2020,JOHOR,20–24,267.1
15,2020,JOHOR,25–29,313.5
16,2020,JOHOR,30–34,253.9
17,2020,JOHOR,35–39,215.4
18,2020,JOHOR,40–44,178.6
19,2020,JOHOR,45–49,158.0
20,2020,JOHOR,50–54,142.7
21,2020,JOHOR,55–59,116.4
22,2020,JOHOR,60–64,68.8
23,2020,KEDAH,0,914.7
24,2020,KEDAH,15–19,27.7
25,2020,KEDAH,20–24,125.3
26,2020,KEDAH,25–29,160.3
27,2020,KEDAH,30–34,129.4
28,2020,KEDAH,35–39,108.3
29,2020,KEDAH,40–44,97.2
30,2020,KEDAH,45–49,88.7
31,2020,KEDAH,50–54,80.2
32,2020,KEDAH,55–59,64.0
33,2020,KEDAH,60–64,33.7
34,2020,KELANTAN,0,680.8
35,2020,KELANTAN,15–19,15.0
36,2020,KELANTAN,20–24,85.3
37,2020,KELANTAN,25–29,139.5
38,2020,KELANTAN,30–34,91.9
39,2020,KELANTAN,35–39,84.1
40,2020,KELANTAN,40–44,68.2
41,2020,KELANTAN,45–49,63.9
42,2020,KELANTAN,50–54,60.8
43,2020,KELANTAN,55–59,50.1
44,2020,KELANTAN,60–64,21.9
45,2020,MELAKA,0,417.3
46,2020,MELAKA,15–19,7.4
47,2020,MELAKA,20–24,57.3
48,2020,MELAKA,25–29,86.5
49,2020,MELAKA,30–34,65.3
50,2020,MELAKA,35–39,54.1
51,2020,MELAKA,40–44,39.8
52,2020,MELAKA,45–49,37.7
53,2020,MELAKA,50–54,33.6
54,2020,MELAKA,55–59,25.4
55,2020,MELAKA,60–64,10.4
56,2020,NEGERI SEMBILAN,0,474.1
57,2020,NEGERI SEMBILAN,15–19,13.5
58,2020,NEGERI SEMBILAN,20–24,65.0
59,2020,NEGERI SEMBILAN,25–29,87.0
60,2020,NEGERI SEMBILAN,30–34,79.5
61,2020,NEGERI SEMBILAN,35–39,58.4
62,2020,NEGERI SEMBILAN,40–44,50.8
63,2020,NEGERI SEMBILAN,45–49,43.3
64,2020,NEGERI SEMBILAN,50–54,37.7
65,2020,NEGERI SEMBILAN,55–59,26.6
66,2020,NEGERI SEMBILAN,60–64,12.4
67,2020,PAHANG,0,715.9
68,2020,PAHANG,15–19,16.3
69,2020,PAHANG,20–24,93.3
70,2020,PAHANG,25–29,130.5
71,2020,PAHANG,30–34,110.8
72,2020,PAHANG,35–39,104.8
73,2020,PAHANG,40–44,70.1
74,2020,PAHANG,45–49,64.0
75,2020,PAHANG,50–54,56.2
76,2020,PAHANG,55–59,43.6
77,2020,PAHANG,60–64,26.2
78,2020,PULAU PINANG,0,832.9
79,2020,PULAU PINANG,15–19,12.0
80,2020,PULAU PINANG,20–24,96.7
81,2020,PULAU PINANG,25–29,146.0
82,2020,PULAU PINANG,30–34,131.1
83,2020,PULAU PINANG,35–39,121.1
84,2020,PULAU PINANG,40–44,99.4
85,2020,PULAU PINANG,45–49,85.5
86,2020,PULAU PINANG,50–54,73.3
87,2020,PULAU PINANG,55–59,47.3
88,2020,PULAU PINANG,60–64,20.4
89,2020,PERAK,0,1042.8
90,2020,PERAK,15–19,28.4
91,2020,PERAK,20–24,136.9
92,2020,PERAK,25–29,197.1
93,2020,PERAK,30–34,158.1
94,2020,PERAK,35–39,113.2
95,2020,PERAK,40–44,103.7
96,2020,PERAK,45–49,97.9
97,2020,PERAK,50–54,92.7
98,2020,PERAK,55–59,75.8
99,2020,PERAK,60–64,38.9
100,2020,PERLIS,Total,105.6
101,2020,PERLIS,15–19,3.0
102,2020,PERLIS,20–24,10.7
103,2020,PERLIS,25–29,22.8
104,2020,PERLIS,30–34,16.7
105,2020,PERLIS,35–39,12.6
106,2020,PERLIS,40–44,9.7
107,2020,PERLIS,45–49,8.7
108,2020,PERLIS,50–54,9.5
109,2020,PERLIS,55–59,7.9
110,2020,PERLIS,60–64,4.0
111,2020,SELANGOR,Total,3446.5
112,2020,SELANGOR,15–19,108.5
113,2020,SELANGOR,20–24,275.7
114,2020,SELANGOR,25–29,521.6
115,2020,SELANGOR,30–34,660.0
116,2020,SELANGOR,35–39,572.4
117,2020,SELANGOR,40–44,428.9
118,2020,SELANGOR,45–49,357.8
119,2020,SELANGOR,50–54,264.4
120,2020,SELANGOR,55–59,172.2
121,2020,SELANGOR,60–64,84.9
122,2020,TERENGGANU,Total,465.0
123,2020,TERENGGANU,15–19,13.5
124,2020,TERENGGANU,20–24,60.1
125,2020,TERENGGANU,25–29,90.1
126,2020,TERENGGANU,30–34,74.6
127,2020,TERENGGANU,35–39,55.8
128,2020,TERENGGANU,40–44,46.0
129,2020,TERENGGANU,45–49,41.8
130,2020,TERENGGANU,50–54,39.1
131,2020,TERENGGANU,55–59,30.7
132,2020,TERENGGANU,60–64,13.3
133,2020,SABAH,Total,1869.7
134,2020,SABAH,15–19,125.7
135,2020,SABAH,20–24,294.1
136,2020,SABAH,25–29,384.8
137,2020,SABAH,30–34,284.0
138,2020,SABAH,35–39,246.9
139,2020,SABAH,40–44,172.2
140,2020,SABAH,45–49,137.3
141,2020,SABAH,50–54,110.3
142,2020,SABAH,55–59,71.1
143,2020,SABAH,60–64,43.3
144,2020,SARAWAK,Total,1262.3
145,2020,SARAWAK,15–19,36.4
146,2020,SARAWAK,20–24,172.4
147,2020,SARAWAK,25–29,223.7
148,2020,SARAWAK,30–34,180.7
149,2020,SARAWAK,35–39,153.7
150,2020,SARAWAK,40–44,128.3
151,2020,SARAWAK,45–49,123.4
152,2020,SARAWAK,50–54,110.8
153,2020,SARAWAK,55–59,84.8
154,2020,SARAWAK,60–64,48.2
155,2020,W.P.KUALA LUMPUR,Total,874.6
156,2020,W.P.KUALA LUMPUR,15–19,13.8
157,2020,W.P.KUALA LUMPUR,20–24,66.0
158,2020,W.P.KUALA LUMPUR,25–29,138.1
159,2020,W.P.KUALA LUMPUR,30–34,147.5
160,2020,W.P.KUALA LUMPUR,35–39,143.8
161,2020,W.P.KUALA LUMPUR,40–44,113.6
162,2020,W.P.KUALA LUMPUR,45–49,89.7
163,2020,W.P.KUALA LUMPUR,50–54,86.4
164,2020,W.P.KUALA LUMPUR,55–59,55.0
165,2020,W.P.KUALA LUMPUR,60–64,20.6
166,2020,W.P.LABUAN,Total,42.8
167,2020,W.P.LABUAN,15–19,0.6
168,2020,W.P.LABUAN,20–24,5.1
169,2020,W.P.LABUAN,25–29,7.1
170,2020,W.P.LABUAN,30–34,7.1
171,2020,W.P.LABUAN,35–39,8.1
172,2020,W.P.LABUAN,40–44,4.7
173,2020,W.P.LABUAN,45–49,4.1
174,2020,W.P.LABUAN,50–54,2.8
175,2020,W.P.LABUAN,55–59,2.1
176,2020,W.P.LABUAN,60–64,1.3
177,2020,W.P.PUTRAJAYA,Total,36.2
178,2020,W.P.PUTRAJAYA,15–19,0.5
179,2020,W.P.PUTRAJAYA,20–24,3.4
180,2020,W.P.PUTRAJAYA,25–29,4.0
181,2020,W.P.PUTRAJAYA,30–34,6.0
182,2020,W.P.PUTRAJAYA,35–39,10.4
183,2020,W.P.PUTRAJAYA,40–44,5.3
184,2020,W.P.PUTRAJAYA,45–49,2.5
185,2020,W.P.PUTRAJAYA,50–54,2.1
186,2020,W.P.PUTRAJAYA,55–59,1.8
187,2020,W.P.PUTRAJAYA,60–64,0.2
188,2019,MALAYSIA,Total,15073.4
189,2019,MALAYSIA,15–19,528.4
190,2019,MALAYSIA,20–24,1986.4
191,2019,MALAYSIA,25–29,2674.1
192,2019,MALAYSIA,30–34,2434.1
193,2019,MALAYSIA,35–39,2034.3
194,2019,MALAYSIA,40–44,1605.7
195,2019,MALAYSIA,45–49,1403.7
196,2019,MALAYSIA,50–54,1192.2
197,2019,MALAYSIA,55–59,828.1
198,2019,MALAYSIA,60–64,386.4
199,2019,JOHOR,Total,1756.1
200,2019,JOHOR,15–19,52.9
201,2019,JOHOR,20–24,234.0
202,2019,JOHOR,25–29,283.6
203,2019,JOHOR,30–34,269.7
204,2019,JOHOR,35–39,246.5
205,2019,JOHOR,40–44,193.7
206,2019,JOHOR,45–49,174.0
207,2019,JOHOR,50–54,144.5
208,2019,JOHOR,55–59,103.3
209,2019,JOHOR,60–64,53.8
210,2019,KEDAH,Total,923.6
211,2019,KEDAH,15–19,32.4
212,2019,KEDAH,20–24,135.5
213,2019,KEDAH,25–29,154.8
214,2019,KEDAH,30–34,131.5
215,2019,KEDAH,35–39,111.0
216,2019,KEDAH,40–44,100.2
217,2019,KEDAH,45–49,90.5
218,2019,KEDAH,50–54,80.1
219,2019,KEDAH,55–59,58.6
220,2019,KEDAH,60–64,29.1
221,2019,KELANTAN,Total,682.4
222,2019,KELANTAN,15–19,22.7
223,2019,KELANTAN,20–24,106.1
224,2019,KELANTAN,25–29,128.1
225,2019,KELANTAN,30–34,91.4
226,2019,KELANTAN,35–39,80.6
227,2019,KELANTAN,40–44,65.1
228,2019,KELANTAN,45–49,62.6
229,2019,KELANTAN,50–54,60.4
230,2019,KELANTAN,55–59,46.4
231,2019,KELANTAN,60–64,19.0
232,2019,MELAKA,Total,428.3
233,2019,MELAKA,15–19,12.8
234,2019,MELAKA,20–24,59.1
235,2019,MELAKA,25–29,83.0
236,2019,MELAKA,30–34,66.7
237,2019,MELAKA,35–39,52.7
238,2019,MELAKA,40–44,41.8
239,2019,MELAKA,45–49,38.6
240,2019,MELAKA,50–54,36.3
241,2019,MELAKA,55–59,25.9
242,2019,MELAKA,60–64,11.3
243,2019,NEGERI SEMBILAN,Total,482.5
244,2019,NEGERI SEMBILAN,15–19,13.3
245,2019,NEGERI SEMBILAN,20–24,65.5
246,2019,NEGERI SEMBILAN,25–29,91.2
247,2019,NEGERI SEMBILAN,30–34,78.5
248,2019,NEGERI SEMBILAN,35–39,60.3
249,2019,NEGERI SEMBILAN,40–44,50.8
250,2019,NEGERI SEMBILAN,45–49,44.2
251,2019,NEGERI SEMBILAN,50–54,39.8
252,2019,NEGERI SEMBILAN,55–59,28.0
253,2019,NEGERI SEMBILAN,60–64,11.0
254,2019,PAHANG,Total,719.5
255,2019,PAHANG,15–19,26.0
256,2019,PAHANG,20–24,100.6
257,2019,PAHANG,25–29,128.3
258,2019,PAHANG,30–34,110.4
259,2019,PAHANG,35–39,98.9
260,2019,PAHANG,40–44,69.7
261,2019,PAHANG,45–49,63.9
262,2019,PAHANG,50–54,58.9
263,2019,PAHANG,55–59,41.0
264,2019,PAHANG,60–64,21.7
265,2019,PULAU PINANG,Total,835.6
266,2019,PULAU PINANG,15–19,21.4
267,2019,PULAU PINANG,20–24,101.9
268,2019,PULAU PINANG,25–29,148.4
269,2019,PULAU PINANG,30–34,133.6
270,2019,PULAU PINANG,35–39,115.1
271,2019,PULAU PINANG,40–44,93.0
272,2019,PULAU PINANG,45–49,86.2
273,2019,PULAU PINANG,50–54,70.1
274,2019,PULAU PINANG,55–59,45.8
275,2019,PULAU PINANG,60–64,20.1
276,2019,PERAK,Total,1043.7
277,2019,PERAK,15–19,33.9
278,2019,PERAK,20–24,152.5
279,2019,PERAK,25–29,197.5
280,2019,PERAK,30–34,149.2
281,2019,PERAK,35–39,112.9
282,2019,PERAK,40–44,103.5
283,2019,PERAK,45–49,98.5
284,2019,PERAK,50–54,92.6
285,2019,PERAK,55–59,66.8
286,2019,PERAK,60–64,36.3
287,2019,PERLIS,Total,108.5
288,2019,PERLIS,15–19,2.2
289,2019,PERLIS,20–24,14.5
290,2019,PERLIS,25–29,22.6
291,2019,PERLIS,30–34,16.0
292,2019,PERLIS,35–39,12.5
293,2019,PERLIS,40–44,10.0
294,2019,PERLIS,45–49,9.6
295,2019,PERLIS,50–54,9.8
296,2019,PERLIS,55–59,7.5
297,2019,PERLIS,60–64,4.0
298,2019,SELANGOR,Total,3489.5
299,2019,SELANGOR,15–19,63.5
300,2019,SELANGOR,20–24,351.1
301,2019,SELANGOR,25–29,580.5
302,2019,SELANGOR,30–34,688.8
303,2019,SELANGOR,35–39,549.7
304,2019,SELANGOR,40–44,411.2
305,2019,SELANGOR,45–49,341.2
306,2019,SELANGOR,50–54,263.7
307,2019,SELANGOR,55–59,169.7
308,2019,SELANGOR,60–64,70.2
309,2019,TERENGGANU,Total,471.0
310,2019,TERENGGANU,15–19,15.8
311,2019,TERENGGANU,20–24,70.8
312,2019,TERENGGANU,25–29,89.0
313,2019,TERENGGANU,30–34,71.6
314,2019,TERENGGANU,35–39,54.2
315,2019,TERENGGANU,40–44,46.6
316,2019,TERENGGANU,45–49,42.5
317,2019,TERENGGANU,50–54,39.8
318,2019,TERENGGANU,55–59,28.5
319,2019,TERENGGANU,60–64,12.3
320,2019,SABAH,Total,1908.6
321,2019,SABAH,15–19,151.7
322,2019,SABAH,20–24,330.6
323,2019,SABAH,25–29,391.4
324,2019,SABAH,30–34,280.5
325,2019,SABAH,35–39,232.3
326,2019,SABAH,40–44,169.5
327,2019,SABAH,45–49,135.2
328,2019,SABAH,50–54,107.4
329,2019,SABAH,55–59,76.0
330,2019,SABAH,60–64,34.2
331,2019,SARAWAK,Total,1304.7
332,2019,SARAWAK,15–19,49.1
333,2019,SARAWAK,20–24,192.4
334,2019,SARAWAK,25–29,223.7
335,2019,SARAWAK,30–34,182.8
336,2019,SARAWAK,35–39,151.5
337,2019,SARAWAK,40–44,134.1
338,2019,SARAWAK,45–49,126.0
339,2019,SARAWAK,50–54,111.6
340,2019,SARAWAK,55–59,85.9
341,2019,SARAWAK,60–64,47.7
342,2019,W.P.KUALA LUMPUR,Total,841.0
343,2019,W.P.KUALA LUMPUR,15–19,28.4
344,2019,W.P.KUALA LUMPUR,20–24,63.7
345,2019,W.P.KUALA LUMPUR,25–29,142.1
346,2019,W.P.KUALA LUMPUR,30–34,148.4
